date_hour,avg_compile_time,avg_queue_time,avg_execution_time,avg_cluster_size,total_cached_queries,total_aborted_queries,avg_mbytes_scanned,avg_mbytes_spilled,avg_joins,avg_scans,avg_aggregations,total_queries
20240315 07,3716.408498100211,559.8298796037384,3726.132169252121,6.208980124149963,18881,987,8309.650296841606,3520.1271511121668,0.5847251943363848,1.252148468212242,1.8926620495395408,146267
20240315 08,3396.7871843775797,989.2765653043106,3617.426481953413,6.392045368160187,15287,970,9594.33159076078,3226.98233045773,0.5813357859574495,1.2660969425230093,2.052546194281043,156567
20240315 09,3353.074634087335,815.6993237628951,4001.1269510527054,6.8259528447027975,15026,1210,8702.540764746793,3142.787547232041,0.571158295729096,1.2958633208483004,2.119888273869636,156454
20240315 10,4457.858578180505,1034.8638902927996,4608.2071700528995,7.409798960446862,14606,1084,11096.083934752607,5027.053520659412,0.5305030492941137,1.2561070116917685,2.075770746992823,148395
20240315 11,3324.8063716774823,1014.7626397202167,3307.8703210258723,7.151719005455579,23346,1078,9526.526783926307,2834.6354493469507,0.5292420576220378,1.2478129683872294,2.01533126304137,204158
20240315 12,4135.5319659611605,631.9634447804144,4369.534854033353,7.207721940333861,14424,1089,10671.043473382077,4291.2061515928235,0.6086081646120809,1.3124557123615928,2.178492029577381,184871
20240315 13,4309.680911011975,750.5099474985095,4314.072332814299,7.3522482391565305,18477,1016,10330.512303515196,3223.486710362827,0.6070607848017736,1.2859276324548354,2.150940338162853,172757
20240315 14,3856.3018253056302,815.3532981584302,3917.1503062466127,7.559445182746439,35533,1230,11350.106681977946,4489.745289243614,0.5290141824391341,1.1403724040614742,1.9550037322208247,195594
20240315 15,2259.3004904128934,1103.0752659975717,2588.8845164627533,4.872480407649886,20158,748,6218.034054994292,1974.071561691917,0.3439648545544675,1.1413325382741948,2.0473515191137484,278386
20240315 16,2022.969773930711,494.97620411537633,2252.995615776694,4.659520966293027,19235,897,5595.361659968938,2497.3356049895183,0.3432127536307358,1.1631276079130837,2.0712118943620257,307238
20240315 17,1797.8946921938696,217.6146352430994,1991.455728990212,4.402778479073885,15130,969,5057.646343364533,1939.3842731223165,0.31362687183151516,1.157692757836899,2.1250823883060965,324682
